kod knihy,Nazev,Autor,Kategorie,Obor/zanr,Umisteni,Signatura,Způsob ziskani,mautritni,pujcena
845,"Cesky jazyk, prehled uciva",,odborna,jazyk,inventar,Zk628,koupena,no,no
858,Slovnik nespisovne cestiny,,odborna,jazyk,inventar,Zk730,koupena,no,no
859,Slovnik nespisovne cestiny,"Sochrova, Marie",odborna,jazyk,inventar,Zk842,koupena,no,no
767,Slovnik nespisovne cestiny,"Sochrova, Marie",odborna,jazyk,inventar,Zk843,koupena,no,no
874,Jak se to rekne jinde,,odborna,jazyk,inventar,Zk992,koupena,no,no
885,Nase prijmeni,,odborna,jazyk,inventar,Zk998,koupena,no,no
959,O cestine,,odborna,jazyk,inventar,Zk1011,koupena,no,no
976,Testove úlohy nejen pro devataky,,odborna,jazyk,inventar,Zk1012,koupena,no,no
1096,Slovnik ceskych synonym a antonym,,odborna,jazyk,inventar,Zk918,koupena,no,no
1094,Slovnik ceske frazeologie a idiomatiky 1-4,,odborna,jazyk,inventar,Zk1027,koupena,no,no
1303,Smirbuch jazyka ceskeho,,odborna,jazyk,inventar,Zk1038,koupena,no,no
1305,Cestina nove od A do Z,,odborna,jazyk,spotreba,Zk08/1,koupena,no,no
,Hacknuta cestina,,odborna,jazyk,spotreba,Zk09/2,koupena,no,no
452,Encyklopedie prakticke zurnalistiky,,odborna,jazyk,spotreba,Zk10/79,koupena,no,no
797,Slovnik medialni komunikace,,odborna,jazyk,spotreba,ZKQI7,koupena,no,no
798,Retorika,"Ourednik, Patrik",odborna,jazyk,spotreba,Zk16/6,koupena,no,no
803,Jak cist a psat odborny text,"Pravdova, Marketa",odborna,jazyk,spotreba,Zk16/8,koupena,no,no
977,Jak byt in v pisemnem projevu,"Kavka, M., Skrabal, M.",odborna,jazyk,spotreba,Zk18/54,koupena,no,no
1173,Tvůrci psani,,odborna,jazyk-sloh,inventar,Zk582,koupena,no,no
113,Kronika techniky,,odborna,jazyk-sloh,inventar,Zk949,koupena,no,no
114,Kronika lidstva,,odborna,jazyk-sloh,inventar,Zk950,koupena,no,no
183,Kronika mediciny,,odborna,jazyk-sloh,inventar,Zk955,koupena,no,no
248,Kronika Zeme,"Polivkova, Alena",odborna,jazyk-sloh,spotreba,Zk09/3,koupena,no,no
289,Kronika filmu,"Hoskova, Katerina",odborna,jazyk-sloh,spotreba,Zk13/22,koupena,no,no
290,Kronika OH 1896-199,,odborna,kronika,inventar,Zk183,koupena,no,no
101,Zakopany pes,,odborna,kronika,inventar,Zk184,koupena,no,no
170,Slovnik ceskeho romanu,,odborna,kronika,inventar,Zk272,koupena,no,no
227,Slovnik ceskych spisovatelů od roku 1945 A-L,,odborna,kronika,inventar,Zk351,koupena,no,no
373,Slovnik anglicky psane literatury,,odborna,kronika,inventar,Zk405,koupena,no,no
374,Slovnik spisovatelů Latinske Ameriky,,odborna,kronika,inventar,Zk406,koupena,no,no
430,Slovnik spisovatelů Spanelska a Portugalska,"Fucik, Bedrich",odborna,literatura,inventar,Zk167,koupena,no,no
447,Slovnik slovenskych spisovatelů,,odborna,literatura,inventar,Zk258,koupena,no,no
451,Slovnik slovenskych spisovatelov,,odborna,literatura,inventar,Zk328,koupena,no,no
570,"Slovnik ruskych, ukrajinskych a beloruskych spisovatelů",,odborna,literatura,inventar,Zk494,koupena,no,no
589,Slovnik ceskych spisovatelů,,odborna,literatura,inventar,Zk495,koupena,no,no
590,Slovnik francouzsky pisicich spisovatelů,,odborna,literatura,inventar,Zk560,koupena,no,no
712,Slovnik ceskych spisovatelů,,odborna,literatura,inventar,Zk577,koupena,no,no
292,Slovnik ceske literarni fantastiky a sci-fi,,odborna,literatura,inventar,Zk581,koupena,no,no
297,Jisrreni,,odborna,literatura,inventar,Zk710,koupena,no,no
310,Prazska nemecka literatura,,odborna,literatura,inventar,Zk731,koupena,no,no
311,Encyklopedie literatury sci-fi,,odborna,literatura,inventar,Zk732,koupena,no,no
313,Kdo je kdo? Obec spisovatelů,,odborna,literatura,inventar,Zk861,koupena,no,no
383,Velky slovnik citatů a prislovi,,odborna,literatura,inventar,Zk408,koupena,no,no
394,Panorama ruske literatury,"Ivanov, Miroslav",odborna,literatura,inventar,Zk413,koupena,no,no
403,Poeticky slovnik,,odborna,literatura,inventar,Zk426,koupena,no,no
435,"Slovnik ceskych spisovatelů od r. 1945, dil 2, M-Z",,odborna,literatura,inventar,Zk427,koupena,no,no
450,Svetova literatura 20. stoleti v kostce,,odborna,literatura,inventar,Zk429,koupena,no,no
526,Encyklopedie anticke mytologie,,odborna,literatura,inventar,Zk504,koupena,no,no
558,Basnicka semantika,,odborna,literatura,inventar,Zk517,koupena,no,no
559,Katalog knih ceskeho exilu 1948 - 1994,,odborna,literatura,inventar,Zk526,koupena,no,no
568,Encyklopedie slovanskych bohů a mytů,,odborna,literatura,inventar,Zk565,koupena,no,no
578,Literati,,odborna,literatura,inventar,Zk580,koupena,no,no
587,Mala encyklopedie Vanoc,,odborna,literatura,inventar,Zk663,koupena,no,no
646,"Ilustrovana kniha mytů, pohadek a pribehů","Mukarovsky, Jan",odborna,literatura,inventar,Zk697,koupena,no,no
675,Skolni slovnik ceskych spisovatelů,,odborna,literatura,inventar,Zk698,koupena,no,no
716,Definice a vysvetlivky,,odborna,literatura,inventar,Zk708,koupena,no,no
719,Hadanky a hlavolamy - CDR,"Rulf, Jiri",odborna,literatura,inventar,Zk720,koupena,no,no
721,Maly labyrint literatury,,odborna,literatura,inventar,Zk729,koupena,no,no
749,Lexikon ruskych avantgard,,odborna,literatura,inventar,Zk789,koupena,no,no
828,Encyklopedie literarnich zanrů,,odborna,literatura,inventar,Zk821,koupena,no,no
